WarningInstanceID,Date,WarningType,Project,Indicator,IndClass,IndMethod,IndField,IndFilePath,IndLineNumber,RootCause,RootClass,RootMethod,RootField,RootFilePath,RootLineNumber
1,Mon Sep 05 15:00:43 CDT 2022,Pattern1,package-question-1,javax.crypto.Cipher,A,ma2,Cipher.getInstance,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-1/src/org/package1/A.java,19,javax.crypto.Cipher,A,ma2,algorithm,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-1/src/org/package2/B.java,7
2,Mon Sep 05 15:01:22 CDT 2022,Pattern8,package-question-10,javax.crypto.spec.IvParameterSpec,A,ma6,IvParameterSpec,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-10/src/org/package1/A.java,73,javax.crypto.spec.IvParameterSpec,A,ma6,initVec,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-10/src/org/package1/A.java,68
3,Mon Sep 05 15:01:31 CDT 2022,Pattern2,package-question-2,java.security.MessageDigest,B,hashTemplate,MessageDigest.getInstance,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-2/src/org/package2/B.java,14,java.security.MessageDigest,B,hashTemplate,algorithm,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-2/src/org/package1/A.java,8
4,Mon Sep 05 15:01:41 CDT 2022,Pattern3,package-question-3,javax.crypto.spec.SecretKeySpec,A,ma2,SecretKeySpec,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-3/src/org/package1/A.java,16,javax.crypto.spec.SecretKeySpec,A,ma2,secret,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-3/src/org/package1/A.java,10
5,Mon Sep 05 15:01:55 CDT 2022,Pattern4,package-question-4,javax.crypto.spec.PBEParameterSpec,B,mb2,PBEParameterSpec,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-4/src/org/package2/B.java,20,javax.crypto.spec.PBEParameterSpec,B,mb2,SALT,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-4/src/org/package2/B.java,10
6,Mon Sep 05 15:02:07 CDT 2022,Pattern5,package-question-5,java.security.SecureRandom,B,m2,random.setSeed,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-5/src/org/package2/B.java,17,java.security.SecureRandom,B,m2,seed,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-5/src/org/package2/B.java,10
7,Mon Sep 05 15:02:17 CDT 2022,Pattern6,package-question-6,javax.crypto.KeyGenerator,B,m1,KeyGenerator.getInstance,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-6/src/org/package2/B.java,16,javax.crypto.KeyGenerator,B,m1,algo,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-6/src/org/package1/A.java,7
8,Mon Sep 05 15:02:26 CDT 2022,Pattern7,package-question-7,javax.crypto.SecretKeyFactory,A,m1,SecretKeyFactory.getInstance,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-7/src/org/package1/A.java,16,javax.crypto.SecretKeyFactory,A,m1,algo,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-7/src/org/package2/B.java,7
9,Mon Sep 05 15:02:40 CDT 2022,Pattern8,package-question-8,javax.crypto.spec.IvParameterSpec,A,m2,IvParameterSpec,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-8/src/org/package1/A.java,14,javax.crypto.spec.IvParameterSpec,A,m2,initVec,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-8/src/org/package1/A.java,9
10,Mon Sep 05 15:03:11 CDT 2022,Pattern1,package-question-9,javax.crypto.Cipher,A,ma2,Cipher.getInstance,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-9/src/org/package1/A.java,32,javax.crypto.Cipher,A,ma2,algorithm,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-9/src/org/package2/B.java,36
11,Mon Sep 05 15:03:16 CDT 2022,Pattern2,package-question-9,,,,,,,java.security.MessageDigest,B,mb4,MessageDigest.getInstance,/Users/dpradhan/Documents/ga/firebug/bugdetectionexample/runtime-security-bug-detector-batch-mode/package-question-9/src/org/package2/B.java,63
